Accident,Appropriate Measures
Ear Injury,Avoid inserting objects. Seek medical evaluation.
Electric Burn,Cover with sterile dressing. Seek medical care immediately.
Gas Inhalation,Move to fresh air immediately. Seek medical help.
Carbon Monoxide Exposure,Move to fresh air. Call emergency services.
Severe Vomiting,Give small sips of fluids. Seek care if persistent.
Severe Diarrhea,Provide ORS solution. Prevent dehydration.
Bee Sting Allergy,Use epinephrine if prescribed. Call emergency services.
Nail Injury,Clean wound. Apply pressure if bleeding. Cover properly.
Crushed Finger,Apply cold pack. Immobilize. Seek care if severe pain.
Shoulder Injury,Immobilize arm in sling. Seek evaluation.
Knee Injury,Rest and apply ice. Avoid weight bearing.
Hip Injury,Avoid movement. Seek emergency care.
Severe Headache (Sudden),Seek immediate medical evaluation.
Unconscious Person,Check breathing and pulse. Call emergency services.
Vomiting Blood,Seek emergency medical help immediately.
Severe Burn from Fire,Cover with sterile cloth. Call emergency services.
Glass Cut,Remove visible glass carefully. Apply pressure. Seek care if deep.
Torn Ligament,Immobilize joint. Apply ice. Seek medical care.
Shock from Trauma,Lay flat. Keep warm. Call emergency services.
Unknown Severe Injury,Keep person still. Monitor breathing. Call emergency services.
Fungal Infection,Keep affected area clean and dry. Avoid scratching. Use antifungal cream if available. Seek medical advice if spreading.
Allergy,Avoid known triggers. Take antihistamine if prescribed. Seek medical help if breathing difficulty occurs.
GERD,Avoid lying down after meals. Eat small meals. Avoid spicy and oily food. Consult doctor if persistent.
Chronic Cholestasis,Seek medical evaluation. Avoid fatty foods. Monitor for worsening jaundice or itching.
Drug Reaction,"Stop suspected medication if safe to do so. Seek medical care immediately, especially if rash or breathing difficulty occurs."
Peptic Ulcer Disease,Avoid NSAIDs and spicy food. Eat small frequent meals. Seek medical care for severe abdominal pain or vomiting blood.
Gastroenteritis,Maintain hydration with ORS. Rest. Seek medical care if severe dehydration or persistent vomiting occurs.
Bronchial Asthma,Use prescribed inhaler immediately. Sit upright. Seek emergency care if breathing does not improve.
Hypertension,Rest quietly. Monitor blood pressure. Seek medical care if extremely high or accompanied by chest pain.
Migraine,"Rest in a dark, quiet room. Stay hydrated. Take prescribed pain relief medication."
Cervical Spondylosis,Rest neck. Apply warm compress. Avoid sudden neck movements. Consult doctor if pain persists.
Chicken Pox,Avoid scratching. Keep skin clean. Use calamine lotion for itching. Seek care if high fever persists.
Alcoholic Hepatitis,Stop alcohol consumption immediately. Seek urgent medical care.
Common Cold,Rest and stay hydrated. Use steam inhalation for congestion. Seek care if symptoms persist.
Pneumonia,Seek medical evaluation promptly. Rest and hydrate. Emergency care if breathing difficulty occurs.
Dimorphic Hemorrhoids (Piles),Increase fiber intake. Stay hydrated. Use warm sitz bath. Consult doctor if bleeding persists.
Varicose Veins,Elevate legs. Avoid prolonged standing. Use compression stockings if advised.
Hyperthyroidism,Seek medical care. Avoid excessive iodine intake. Monitor symptoms.
Osteoarthritis,Rest affected joint. Apply warm compress. Gentle exercise as tolerated.
Arthritis,Rest inflamed joints. Apply warm compress. Seek medical advice for persistent swelling.
Acne,Keep skin clean. Avoid squeezing pimples. Use mild topical treatment.
Urinary Tract Infection,Increase fluid intake. Seek medical care for antibiotics. Seek urgent care if fever develops.
Psoriasis,Keep skin moisturized. Avoid triggers. Seek dermatological care.
Impetigo,Keep affected area clean. Avoid touching lesions. Seek medical treatment for antibiotics.
Minor Burn from Iron,Cool area under running water for 10 minutes. Cover with sterile gauze. Do not apply toothpaste or oil.
Boiling Water Spill,Remove wet clothing carefully. Cool skin with running water. Seek care if blistering occurs.
Finger Cut (Kitchen),Wash with clean water. Apply pressure to stop bleeding. Cover with sterile bandage.
Scalp Cut,Apply firm pressure with clean cloth. Seek medical care if bleeding does not stop.
Lip Cut,Apply gentle pressure with sterile gauze. Use cold compress to reduce swelling.
Tongue Bite,Rinse mouth with clean water. Apply cold compress externally. Seek care if bleeding persists.
Finger Slammed in Door,Apply cold pack for 15 minutes. Elevate hand. Seek care if severe pain or deformity.
Nose Foreign Object (Child),Do not insert tools. Encourage gentle blowing if possible. Seek medical help.
Ear Foreign Object,Do not probe with objects. Seek medical evaluation.
Mild Smoke Inhalation,Move to fresh air immediately. Loosen tight clothing. Seek care if coughing persists.
Mild Food Choking (Able to Cough),Encourage coughing. Do not interfere unless airway becomes blocked.
Boil on Skin,Keep clean and dry. Do not squeeze. Apply warm compress.
Nail Cut Too Deep,Apply pressure to stop bleeding. Clean area. Cover with sterile dressing.
Paper Cut,Wash with water. Apply antiseptic. Cover if necessary.
Razor Cut,Apply firm pressure. Clean with antiseptic. Cover if bleeding continues.
Mild Back Strain,Rest. Apply warm compress after 24 hours. Avoid heavy lifting.
Leg Cramp,Gently stretch muscle. Massage lightly. Hydrate.
Foot Blister (From Shoes),Keep clean and dry. Cover with sterile blister pad. Do not pop.
Ingrown Toenail (Mild),Soak foot in warm water. Keep clean. Seek care if infection develops.
Minor Eye Irritation (Dust),Rinse with clean water or saline. Avoid rubbing.
Contact Lens Irritation,Remove lens immediately. Rinse eye with saline.
Mild Dehydration (Exercise),Rest in shade. Drink oral rehydration solution.
Mild Heat Rash,Move to cool area. Keep skin dry. Wear loose clothing.
Cold Exposure (Mild),Move indoors. Warm gradually with dry clothing.
Mild Sunstroke,Rest in cool place. Drink fluids. Monitor for worsening symptoms.
Minor Electric Static Shock,No treatment needed if no injury. Seek care if burn marks appear.
Small Skin Abrasion,Clean with water. Apply antiseptic. Cover lightly.
Minor Fall Without Injury,Rest and observe for pain or swelling.
Bruised Toenail,Apply cold compress. Elevate foot.
Small Splashed Chemical on Skin (Non-corrosive),Wash thoroughly with soap and water.
Mild Motion Sickness,Sit still. Focus on stable point. Drink small sips of water.
Mild Anxiety Episode,Encourage slow breathing. Provide reassurance.
Mild Nose Congestion,Use steam inhalation. Stay hydrated.
Mild Sore Throat,Drink warm fluids. Gargle with salt water.
Mild Cough,Stay hydrated. Rest. Seek care if persistent.
Minor Finger Burn from Cooking,Cool under running water. Cover with sterile gauze.
Small Thorn Prick,Remove thorn carefully. Clean area. Apply antiseptic.
Minor Muscle Bruise from Sports,Rest. Apply ice for 15 minutes.
Minor Head Bump (No Symptoms),Apply cold pack. Monitor for dizziness.
Mild Toothache,Rinse mouth with warm salt water. Seek dental evaluation.
